instrument_key,side,status,entry_ts,exit_ts,quantity,entry_price,exit_price,entry_notional,exit_notional,contract_multiplier,realized_gross_pnl,fees,realized_net_pnl,return_on_entry_notional
SB11,short,closed,2013-11-05 00:00:00+00:00,2014-05-08 00:00:00+00:00,14669.0,18.26,17.24,299998652.8,283240787.2,1120.0,16757865.600000052,0.0,16757865.600000052,0.055859802847754825
SB11,long,closed,2014-05-08 00:00:00+00:00,2014-05-16 00:00:00+00:00,15536.0,17.24,17.91,299981516.79999995,311639731.2,1120.0,11658214.40000003,0.0,11658214.40000003,0.038863109048724004
SB11,short,closed,2014-05-16 00:00:00+00:00,2014-06-12 00:00:00+00:00,14955.0,17.91,16.7,299985336.0,279718320.0,1120.0,20267016.000000015,0.0,20267016.000000015,0.06756002233389173
SB11,long,closed,2014-06-12 00:00:00+00:00,2014-07-24 00:00:00+00:00,16039.0,16.7,17.05,299993456.0,306280744.0,1120.0,6287288.000000022,0.0,6287288.000000022,0.020958083832335404
SB11,short,closed,2014-07-24 00:00:00+00:00,2015-01-16 00:00:00+00:00,15710.0,17.05,15.33,299998160.0,269734416.0,1120.0,30263744.000000015,0.0,30263744.000000015,0.10087976539589448
SB11,long,closed,2015-01-16 00:00:00+00:00,2015-01-26 00:00:00+00:00,17472.0,15.33,15.350000000000001,299987251.2,300378624.0,1120.0,391372.799999997,0.0,391372.799999997,0.0013046314416177332
SB11,short,closed,2015-01-26 00:00:00+00:00,2015-06-18 00:00:00+00:00,17449.0,15.349999999999998,11.69,299983207.99999994,228456267.2,1120.0,71526940.80000001,0.0,71526940.80000001,0.23843648208469065
SB11,long,closed,2015-06-18 00:00:00+00:00,2015-07-15 00:00:00+00:00,22913.0,11.69,12.46,299995326.4,319755497.6,1120.0,19760171.200000048,0.0,19760171.200000048,0.06586826347305405
SB11,short,closed,2015-07-15 00:00:00+00:00,2015-08-05 00:00:00+00:00,21497.0,12.459999999999999,10.76,299994934.4,259064646.4,1120.0,40930288.00000003,0.0,40930288.00000003,0.13643659711075454
SB11,long,closed,2015-08-05 00:00:00+00:00,2016-02-22 00:00:00+00:00,24893.0,10.76,12.76,299990521.59999996,355750841.59999996,1120.0,55760319.99999997,0.0,55760319.99999997,0.18587360594795532
SB11,short,closed,2016-02-22 00:00:00+00:00,2016-03-02 00:00:00+00:00,20991.0,12.759999999999998,14.669999999999998,299986579.2,344890526.4,1120.0,-44903947.19999999,0.0,-44903947.19999999,-0.14968652037617552
SB11,long,closed,2016-03-02 00:00:00+00:00,2016-07-05 00:00:00+00:00,18258.0,14.67,20.87,299986243.2,426769795.20000005,1120.0,126783552.00000006,0.0,126783552.00000006,0.42263122017723265
SB11,short,closed,2016-07-05 00:00:00+00:00,2016-08-19 00:00:00+00:00,12834.0,20.87,19.77,299987049.6,284175561.59999996,1120.0,15811488.0,0.0,15811488.0,0.052707235265931955
SB11,long,closed,2016-08-19 00:00:00+00:00,2016-10-04 00:00:00+00:00,13548.0,19.770000000000003,23.26,299985235.20000005,352941657.6,1120.0,52956422.400000036,0.0,52956422.400000036,0.17653009610521
SB11,short,closed,2016-10-04 00:00:00+00:00,2016-12-22 00:00:00+00:00,11515.0,23.26,18.16,299979568.0,234205888.0,1120.0,65773680.0,0.0,65773680.0,0.21926053310404128
SB11,long,closed,2016-12-22 00:00:00+00:00,2017-02-08 00:00:00+00:00,14749.0,18.16,20.76,299982860.8,342931948.8000001,1120.0,42949088.00000006,0.0,42949088.00000006,0.14317180616740108
SB11,short,closed,2017-02-08 00:00:00+00:00,2017-08-09 00:00:00+00:00,12902.0,20.76,13.64,299986982.40000004,197101273.6,1120.0,102885708.80000007,0.0,102885708.80000007,0.34296724470134893
SB11,long,closed,2017-08-09 00:00:00+00:00,2018-01-03 00:00:00+00:00,19637.0,13.639999999999999,15.310000000000002,299990521.59999996,336719566.40000004,1120.0,36729044.79999995,0.0,36729044.79999995,0.12243401759530777
SB11,short,closed,2018-01-03 00:00:00+00:00,2018-01-18 00:00:00+00:00,17495.0,15.31,13.08,299990264.0,256294752.0,1120.0,43695512.0,0.0,43695512.0,0.1456564337034618
SB11,long,closed,2018-01-18 00:00:00+00:00,2018-03-06 00:00:00+00:00,20478.0,13.08,13.45,299994508.8,308480592.0,1120.0,8486083.199999928,0.0,8486083.199999928,0.028287461773700066
SB11,short,closed,2018-03-06 00:00:00+00:00,2018-05-04 00:00:00+00:00,19915.0,13.45,11.51,299999560.0,256728248.0,1120.0,43271312.0,0.0,43271312.0,0.14423791821561338
SB11,long,closed,2018-05-04 00:00:00+00:00,2018-06-28 00:00:00+00:00,23271.0,11.510000000000002,12.25,299991115.20000005,319278120.0,1120.0,19287004.799999952,0.0,19287004.799999952,0.06429192006950461
SB11,short,closed,2018-06-28 00:00:00+00:00,2018-08-20 00:00:00+00:00,21865.0,12.25,10.09,299987800.0,247091992.0,1120.0,52895808.0,0.0,52895808.0,0.1763265306122449
SB11,long,closed,2018-08-20 00:00:00+00:00,2018-12-11 00:00:00+00:00,26546.0,10.09,12.83,299991036.8,381455401.59999996,1120.0,81464364.80000007,0.0,81464364.80000007,0.2715559960356791
SB11,short,closed,2018-12-11 00:00:00+00:00,2019-05-06 00:00:00+00:00,20877.0,12.829999999999998,11.88,299994139.2,277781011.2,1120.0,22213128.0,0.0,22213128.0,0.0740452065471551
SB11,long,closed,2019-05-06 00:00:00+00:00,2019-06-06 00:00:00+00:00,22546.0,11.880000000000003,12.510000000000002,299988057.6,315896515.20000005,1120.0,15908457.600000024,0.0,15908457.600000024,0.05303030303030311
SB11,short,closed,2019-06-06 00:00:00+00:00,2019-07-19 00:00:00+00:00,21411.0,12.51,11.59,299993803.2,277931908.8,1120.0,22061894.399999976,0.0,22061894.399999976,0.07354116706634685
SB11,long,closed,2019-07-19 00:00:00+00:00,2019-09-25 00:00:00+00:00,23111.0,11.59,12.66,299999268.8,327695491.2,1120.0,27696222.399999976,0.0,27696222.399999976,0.0923209663503019
SB11,short,closed,2019-09-25 00:00:00+00:00,2019-10-24 00:00:00+00:00,21157.0,12.66,12.3,299989334.4,291458832.0,1120.0,8530502.399999976,0.0,8530502.399999976,0.028436018957345894
SB11,long,closed,2019-10-24 00:00:00+00:00,2019-12-10 00:00:00+00:00,21777.0,12.300000000000002,13.460000000000003,299999952.00000006,328292630.40000004,1120.0,28292678.399999976,0.0,28292678.399999976,0.0943089430894308
SB11,short,closed,2019-12-10 00:00:00+00:00,2020-01-02 00:00:00+00:00,19900.0,13.46,13.13,299996480.0,292641440.00000006,1120.0,7355040.0,0.0,7355040.0,0.02451708766716196
